Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17.0,5,171.0,1,1,122.0,1,19.0,12,5,9,127.3,1.0,0,0.0,1,1,0.0,20.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,15.0,1,9254.0,1,1,160.0,1,1.0,3,3,3,142.5,1.0,0,0.0,0,1,0.0,19.0,0,0,6,6,6,14.0,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate
1,1.0,5,9070.0,1,1,122.0,1,37.0,37,9,9,124.8,1.0,0,0.0,0,1,0.0,19.0,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,17.0,2,9773.0,1,1,122.0,1,38.0,37,5,3,119.6,1.0,0,0.0,1,0,0.0,20.0,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
2,39.0,1,8014.0,0,1,100.0,1,37.0,38,9,9,141.5,0.0,0,0.0,1,0,0.0,45.0,0,0,6,9,5,12.33333333,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
2,39.0,1,9991.0,0,19,133.1,1,37.0,37,9,7,114.8,0.0,0,1.0,1,1,0.0,50.0,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
1,1.0,1,9500.0,1,1,142.0,1,19.0,38,7,10,128.4,1.0,0,0.0,1,0,1.0,18.0,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
1,18.0,4,9254.0,1,1,119.0,1,37.0,37,9,9,113.1,1.0,0,0.0,0,1,0.0,22.0,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
1,1.0,3,9238.0,1,1,137.0,62,1.0,1,9,9,129.3,0.0,0,0.0,1,0,1.0,21.0,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate
1,1.0,1,9238.0,1,1,138.0,1,1.0,19,4,7,123.0,1.0,0,1.0,0,0,0.0,18.0,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
